25/10/2017,
Freq[Hz],Gain[dB]
5.00E+07,3.68E+01
6.00E+07,3.71E+01
1.71E+08,3.72E+01
2.82E+08,3.75E+01
3.93E+08,3.81E+01
5.04E+08,3.78E+01
6.15E+08,3.80E+01
7.26E+08,3.77E+01
8.37E+08,3.77E+01
9.48E+08,3.79E+01
1.06E+09,3.76E+01
1.17E+09,3.78E+01
1.28E+09,3.75E+01
1.39E+09,3.76E+01
1.50E+09,3.73E+01
1.61E+09,3.75E+01
1.73E+09,3.72E+01
1.84E+09,3.71E+01
1.95E+09,3.73E+01
2.06E+09,3.72E+01
2.17E+09,3.73E+01
2.28E+09,3.70E+01
2.39E+09,3.71E+01
2.50E+09,3.70E+01
2.61E+09,3.70E+01
2.72E+09,3.73E+01
2.84E+09,3.72E+01
2.95E+09,3.71E+01
3.06E+09,3.72E+01
3.17E+09,3.73E+01
3.28E+09,3.72E+01
3.39E+09,3.75E+01
3.50E+09,3.73E+01
3.61E+09,3.75E+01
3.72E+09,3.73E+01
3.84E+09,3.73E+01
3.95E+09,3.73E+01
4.06E+09,3.73E+01
4.17E+09,3.74E+01
4.28E+09,3.75E+01
4.39E+09,3.76E+01
4.50E+09,3.74E+01
4.61E+09,3.76E+01
4.72E+09,3.75E+01
4.83E+09,3.75E+01
4.95E+09,3.73E+01
5.06E+09,3.75E+01
5.17E+09,3.72E+01
5.28E+09,3.72E+01
5.39E+09,3.72E+01
5.50E+09,3.70E+01
5.61E+09,3.69E+01
5.72E+09,3.70E+01
5.83E+09,3.68E+01
5.94E+09,3.69E+01
6.06E+09,3.65E+01
6.17E+09,3.66E+01
6.28E+09,3.67E+01
6.39E+09,3.65E+01
6.50E+09,3.64E+01
7.00E+09,3.63E+01
